ID,Species,C14:0,C15:0,C16:0,C16:1n-7,C17:0,C17:1n,C18:0,C18:1n-9,C18:1n-7,C18:2n-6,C18:3n-6,C18:3n-3,C18:4n-3,C20:0,C20:1n-9,C20:2n,C20:3n-6,C20:3n-3,C20:4n-6,C20:4n-3,C20:5n-3,C24:0,C22:6n-3
m_no22,mekong_m,4.76,0.33,27.7,0.9,0.49,0.08,8.98,23.04,0.59,0.94,0.21,1.42,3.28,0.32,4.28,0.11,0.27,0.62,0.2,1.67,4.17,1.54,9.29
m_no23,mekong_m,3.85,0.23,24.81,0.65,0.39,0.07,7.74,20.28,0.47,0.93,0.21,1.36,3.45,0.24,3.24,0.11,0.34,1.62,0.17,2.5,5.72,2.08,13.2
m_no25,mekong_m,4.12,0.4,24.52,1.14,0.5,0.14,7.44,20.81,0.66,1.07,0.23,1.27,2.56,0.25,2.92,0.17,0.76,2.61,0.28,1.69,4.36,1.12,9.37
f_no4,mekong_f,4.84,0.6,24.88,1.64,0.9,0.24,8.1,19.82,0.92,1.53,0.37,2.04,3.25,0.33,3.79,0.2,0.52,0.94,0.29,2.17,4.79,2.32,10.06
f_no5,mekong_f,5.08,0.5,27.01,1.49,0.76,0.15,8.13,19.63,0.77,1.31,0.34,2,4.09,0.37,3.36,0.17,0.36,0.58,0.21,2.21,4.95,1.73,10.12
f_no6,mekong_f,5.1,0.33,27.78,0.87,0.5,0.08,8.16,20.7,0.55,1.03,0.24,1.54,4.14,0.33,3.79,0.15,0.51,0.46,0.19,2.12,4.92,2.11,9.91
f_no8,mekong_f,4.82,0.63,25.16,1.64,0.97,0.17,8.87,19.11,1.04,1.83,0.52,2.46,2.9,0.45,4.41,0.28,0.52,0.89,0.41,2.13,3.86,1.79,9.47
f_no9,mekong_f,4.64,0.48,25.62,1.3,0.76,0.1,8.43,18.63,0.77,1.54,0.41,2.19,3.49,0.42,4.32,0.24,0.45,0.6,0.33,2.3,4.31,2.64,10.47
f_no11,mekong_f,4.98,0.38,28.05,1,0.61,0.08,8.69,19.27,0.62,1.18,0.3,1.77,3.79,0.4,4.06,0.16,0.59,0.49,0.26,2.19,4.49,2.33,9.61
f_no12,mekong_f,5.28,0.58,26.94,1.36,0.83,0.1,8.04,16.88,0.82,1.4,0.36,2.02,4.15,0.4,3.12,0.22,0.43,0.59,0.24,2.46,5.16,2.24,10.63
f_no21,mekong_f,5.13,0.6,26.78,1.79,0.81,0.18,8.99,20.97,0.92,1.34,0.32,1.81,2.76,0.41,4.67,0.19,0.37,0.64,0.25,2.03,3.76,1.66,8.37
J1a,kh_j,1.09,0.85,20.66,10.69,1.02,0.56,8.01,10.42,11.75,1.58,0.13,1.64,0,0.17,0.54,0.35,1.13,0,4.7,0.55,2.27,0.2,6.22
J2a,kh_j,5.3,2.35,30.17,13.11,1.5,0.54,5.52,13.68,9.82,0.43,0.04,0.35,0.08,0.16,1.64,0.17,0.07,0.09,0.51,0.11,0.24,0,0.08
J3a,kh_j,3.25,1.49,25.29,12.11,1.34,0.52,7,13.23,11.26,1.28,0.13,0.63,0.11,0.13,0.77,0.35,0.72,0.19,3.29,0.47,1.62,0,3.31
J4a,kh_j,4.21,1.3,29.47,12.19,0.94,0.37,6.13,19.33,10.12,0.86,0.16,0.75,0.21,0.11,1.09,0.23,0.39,0.14,1.15,0.51,0.79,0,1.28
J5a,kh_j,4.34,1.59,28.94,16.29,1.46,0.51,5.98,13.69,12.12,0.59,0.1,0.29,0.06,0.13,1.51,0.22,0.23,0.12,0.65,0.22,0.36,0,0.37
J6a,kh_j,4.28,1.2,28.54,18.49,1.48,0.47,5.53,12.67,12.63,1.02,0.16,0.84,0.15,0.19,1.02,0.19,0.26,0.15,0.6,0.44,0.82,0,0.8
J7a,kh_j,4.53,1.34,24.41,10.14,2.11,0.54,8.6,12.76,7.03,1.35,0.13,0.77,0.18,0.42,2.33,0.63,0.59,0.2,1.91,0.39,1.56,0.15,1.88
J8a,kh_j,4.04,1.52,26.85,17.22,1.04,0.49,5.13,15.09,12.97,0.96,0.12,0.81,0.18,0.16,1.04,0.2,0.46,0.13,1.08,0.4,0.74,0,0.96
J9a,kh_j,5.75,2.7,26.05,12.23,2.12,0.67,5.72,9.23,8.15,2.7,0.22,2.26,0.47,0.28,1.31,0.5,0.58,0.33,1.65,0.92,1.64,0,0.97
